Packet number,Battery voltage (V),Thermometer (degrees C)
31,4.057861,27.17578
80,4.05957,27.17578
130,4.05957,27.26953
179,4.057861,27.14844
229,4.057861,27.14844
278,4.05957,27.20703
328,4.05957,27.17578
377,4.057861,27.17578
427,4.057861,27.24219
476,4.057861,27.20703
526,4.05957,27.26953
575,4.057861,27.26953
625,4.05957,27.24219
674,4.057861,27.24219
724,4.05957,27.30078
773,4.057861,27.24219
823,4.05957,27.24219
872,4.057861,27.26953
922,4.057861,27.33203
971,4.056152,27.26953
1021,4.057861,27.30078
1070,4.057861,27.36328
1120,4.05957,27.30078
1169,4.056152,27.36328
1219,4.057861,27.33203
1268,4.057861,27.39063
1318,4.057861,27.39063
1367,4.056152,27.36328
1417,4.057861,27.42188
1466,4.057861,27.42188
1516,4.057861,27.36328
1565,4.057861,27.45703
1615,4.057861,27.39063
1664,4.057861,27.39063
1714,4.057861,27.42188
1763,4.056152,27.42188
1813,4.057861,27.42188
1862,4.057861,27.48438
1912,4.057861,27.45703
1961,4.056152,27.45703
2011,4.057861,27.48438
2060,4.057861,27.48438
2110,4.057861,27.48438
2159,4.056152,27.54297
2209,4.056152,27.51563
2258,4.057861,27.51563
2308,4.057861,27.57813
2357,4.056152,27.57813
2407,4.051514,27.54297
2456,4.056152,27.54297
2506,4.056152,27.54297
2555,4.056152,27.57813
2605,4.056152,27.57813
2654,4.054688,27.54297
2704,4.056152,27.60938
2753,4.054688,27.60938
2803,4.056152,27.60938
2852,4.056152,27.54297
2902,4.056152,27.57813
2951,4.054688,27.57813
3001,4.056152,27.63672
3050,4.056152,27.66797
3100,4.056152,27.60938
3149,4.054688,27.66797
3199,4.054688,27.57813
3248,4.054688,27.57813
3298,4.056152,27.63672
3347,4.054688,27.63672
3397,4.054688,27.60938
3446,4.056152,27.60938
3496,4.054688,27.60938
3545,4.054688,27.63672
3595,4.052979,27.57813
3644,4.049805,27.63672
3694,4.054688,27.60938
3743,4.052979,27.60938
3793,4.051514,27.66797
3842,4.051514,27.66797
3892,4.054688,27.63672
3941,4.054688,27.63672
3991,4.054688,27.63672
4040,4.054688,27.66797
4090,4.052979,27.66797
4139,4.054688,27.66797
4189,4.049805,27.63672
4238,4.046631,27.63672
4288,4.054688,27.69922
4337,4.044922,27.66797
4387,4.052979,27.66797
4436,4.054688,27.60938
4486,4.054688,27.66797
4521,4.043457,27.69922
4571,4.048096,27.69922
4620,4.044922,27.73047
4670,4.049805,27.63672
4719,4.052979,27.73047
4769,4.051514,27.73047
4818,4.054688,27.73047
4868,4.052979,27.82422
4917,4.048096,27.76172
4967,4.056152,27.69922
5016,4.054688,27.78906
5080,4.052979,27.85156
5130,4.049805,27.85156
5179,4.044922,27.88281
5229,4.048096,27.82422
5278,4.051514,27.88281
5328,4.054688,27.85156
5377,4.051514,27.91406
5427,4.052979,27.85156
5476,4.052979,27.94531
5526,4.054688,27.88281
5575,4.051514,27.88281
5625,4.052979,27.85156
5674,4.046631,27.85156
5724,4.052979,27.85156
5773,4.052979,27.88281
5823,4.052979,27.88281
5872,4.051514,27.94531
5922,4.054688,27.91406
5971,4.049805,27.85156
6021,4.052979,27.85156
6070,4.052979,27.88281
6120,4.052979,27.94531
6169,4.052979,27.91406
6219,4.052979,27.91406
6268,4.054688,27.97656
6318,4.052979,27.91406
6367,4.052979,27.91406
6417,4.052979,27.94531
6466,4.052979,27.94531
6516,4.052979,27.94531
6565,4.052979,27.97656
6615,4.052979,27.91406
6664,4.054688,27.97656
6714,4.052979,27.94531
6763,4.051514,27.94531
6813,4.052979,27.97656
6862,4.054688,28.03906
6912,4.054688,28.03906
6961,4.051514,28.03906
7011,4.052979,28.00391
7060,4.052979,28.12891
7110,4.051514,28.06641
7159,4.052979,28.03906
7209,4.051514,28.03906
7258,4.052979,28.00391
7308,4.052979,28.00391
7357,4.052979,28.03906
7407,4.052979,28.03906
7456,4.052979,28.03906
7506,4.054688,28.03906
7555,4.052979,28.00391
7605,4.052979,28.06641
7654,4.051514,28.12891
7704,4.054688,28.09766
7753,4.049805,28.09766
7803,4.052979,28.09766
7852,4.051514,28.00391
7902,4.052979,28.06641
7951,4.051514,28.06641
8001,4.052979,28.09766
8050,4.051514,28.09766
8100,4.052979,28.09766
8149,4.051514,28.12891
8199,4.051514,28.19141
8248,4.051514,28.12891
8298,4.052979,28.09766
8347,4.051514,28.09766
8397,4.052979,28.21875
8446,4.051514,28.12891
8496,4.052979,28.19141
8545,4.051514,28.21875
8595,4.052979,28.16016
8644,4.051514,28.16016
8694,4.052979,28.21875
8743,4.051514,28.19141
8793,4.051514,28.19141
8842,4.051514,28.21875
8892,4.052979,28.21875
8941,4.051514,28.21875
8991,4.051514,28.19141
9040,4.052979,28.19141
9090,4.051514,28.21875
9139,4.051514,28.21875
9189,4.051514,28.28516
9238,4.044922,28.28516
9288,4.051514,28.25
9337,4.049805,28.25
9387,4.048096,28.25
9436,4.046631,28.21875
9486,4.049805,28.28516
9535,4.046631,28.3125
9585,4.049805,28.3125
9634,4.051514,28.28516
9684,4.048096,28.28516
9733,4.051514,28.28516
9783,4.048096,28.34375
9832,4.051514,28.3125
9882,4.052979,28.3125
9931,4.048096,28.3125
9981,4.044922,28.28516
10030,4.046631,28.34375
10080,4.051514,28.28516
10129,4.046631,28.3125
10179,4.048096,28.28516
10228,4.040039,28.28516
10278,4.046631,28.34375
10327,4.051514,28.34375
10377,4.046631,28.3125
10426,4.041748,28.375
10476,4.048096,28.375
10525,4.048096,28.34375
10575,4.046631,28.28516
10624,4.048096,28.40625
10674,4.051514,28.3125
10723,4.044922,28.28516
10773,4.049805,28.34375
10822,4.051514,28.40625
10872,4.052979,28.40625
10921,4.048096,28.4375
10971,4.038574,28.375
11020,4.044922,28.375
11070,4.048096,28.40625
11119,4.051514,28.34375
11169,4.048096,28.40625
11218,4.046631,28.4375
11268,4.046631,28.34375
11317,4.048096,28.40625
11367,4.046631,28.34375
11416,4.048096,28.40625
11466,4.048096,28.4375
11515,4.046631,28.375
11565,4.043457,28.4375
11614,4.043457,28.40625
11664,4.051514,28.46484
11713,4.046631,28.40625
11763,4.049805,28.4375
11812,4.052979,28.40625
11849,4.043457,28.46484
11898,4.044922,28.52734
11948,4.041748,28.46484
11997,4.049805,28.4375
12047,4.051514,28.5
12090,4.040039,28.52734
12140,4.048096,28.5
12189,4.043457,28.5
12239,4.046631,28.46484
12288,4.051514,28.46484
12338,4.048096,28.52734
12387,4.048096,28.46484
12462,4.044922,28.5
12511,4.033691,28.52734
12561,4.048096,28.52734
12610,4.043457,28.58984
12660,4.043457,28.55859
12709,4.051514,28.55859
12759,4.044922,28.52734
12808,4.043457,28.58984
12858,4.046631,28.46484
12907,4.048096,28.55859
12957,4.043457,28.62109
13006,4.048096,28.55859
13056,4.048096,28.52734
13105,4.038574,28.58984
13155,4.044922,28.55859
13204,4.049805,28.55859
13254,4.049805,28.62109
13303,4.038574,28.58984
13353,4.048096,28.58984
13402,4.048096,28.65234
13452,4.049805,28.55859
13501,4.041748,28.67969
13551,4.046631,28.65234
13600,4.043457,28.58984
13650,4.049805,28.65234
13699,4.043457,28.62109
13749,4.048096,28.65234
13798,4.049805,28.58984
13848,4.046631,28.71094
13897,4.041748,28.65234
13947,4.048096,28.67969
13996,4.051514,28.62109
14046,4.048096,28.55859
14095,4.044922,28.58984
14145,4.044922,28.65234
14194,4.049805,28.62109
14244,4.048096,28.67969
14293,4.044922,28.65234
14343,4.044922,28.58984
14392,4.043457,28.65234
14442,4.041748,28.62109
14491,4.048096,28.67969
14541,4.044922,28.67969
14590,4.044922,28.58984
14640,4.041748,28.65234
14689,4.041748,28.65234
14739,4.048096,28.67969
14788,4.049805,28.67969
14838,4.044922,28.71094
14887,4.048096,28.71094
14937,4.049805,28.71094
14986,4.048096,28.67969
15036,4.041748,28.67969
15085,4.048096,28.77344
15135,4.049805,28.65234
15184,4.048096,28.65234
15234,4.048096,28.74609
15283,4.048096,28.71094
15333,4.049805,28.77344
15382,4.049805,28.71094
15432,4.048096,28.71094
15481,4.048096,28.80469
15531,4.048096,28.74609
15580,4.049805,28.71094
15630,4.048096,28.71094
15679,4.048096,28.77344
15729,4.049805,28.74609
15778,4.048096,28.74609
15828,4.048096,28.77344
15877,4.048096,28.83203
15927,4.049805,28.77344
15976,4.048096,28.80469
16026,4.048096,28.80469
16075,4.048096,28.74609
16125,4.049805,28.77344
16174,4.048096,28.83203
16224,4.049805,28.86719
16273,4.048096,28.80469
16323,4.048096,28.80469
16372,4.049805,28.83203
16422,4.049805,28.77344
16471,4.049805,28.86719
16521,4.049805,28.80469
16570,4.049805,28.86719
16620,4.049805,28.83203
16669,4.049805,28.89453
16719,4.051514,28.92578
16768,4.048096,28.86719
16818,4.048096,28.83203
16867,4.049805,28.83203
16917,4.049805,28.89453
16966,4.048096,28.86719
17016,4.046631,28.86719
17065,4.048096,28.83203
17115,4.049805,28.83203
17164,4.048096,28.89453
17214,4.048096,28.86719
17263,4.046631,28.86719
17313,4.049805,28.89453
17362,4.046631,28.83203
17412,4.048096,28.89453
17461,4.048096,28.86719
17511,4.049805,28.86719
17560,4.049805,28.89453
17610,4.049805,28.89453
17659,4.049805,28.83203
17709,4.049805,28.92578
17758,4.048096,28.86719
17808,4.049805,28.95703
17857,4.049805,28.95703
17907,4.049805,28.89453
17956,4.049805,28.92578
18006,4.048096,28.92578
18055,4.048096,29.01953
18105,4.049805,28.89453
18154,4.048096,28.95703
18204,4.048096,28.98828
18253,4.048096,28.95703
18303,4.049805,28.95703
18352,4.049805,28.95703
18402,4.048096,28.95703
18451,4.048096,28.92578
18501,4.048096,28.98828
18550,4.049805,28.95703
18600,4.048096,28.95703
18649,4.049805,28.92578
18699,4.049805,28.98828
18748,4.049805,28.98828
18798,4.048096,29.01953
18847,4.048096,29.01953
18897,4.049805,28.98828
18946,4.048096,28.98828
18996,4.049805,28.98828
19045,4.049805,29.01953
19095,4.049805,29.08203
19144,4.051514,29.04688
19194,4.049805,29.04688
19243,4.048096,29.01953
19293,4.051514,29.08203
19342,4.049805,29.08203
19392,4.048096,29.04688
19441,4.049805,29.11328
19491,4.049805,29.08203
19540,4.049805,29.14063
19590,4.048096,29.01953
19639,4.049805,29.11328
19689,4.049805,29.08203
19738,4.049805,29.08203
19788,4.048096,29.08203
19837,4.048096,29.04688
19887,4.048096,29.04688
19936,4.048096,29.04688
19986,4.046631,29.08203
20035,4.048096,29.14063
20085,4.048096,29.11328
20134,4.049805,29.11328
20184,4.048096,29.11328
20233,4.049805,29.08203
20283,4.049805,29.14063
20332,4.049805,29.11328
20382,4.048096,29.17188
20431,4.048096,29.14063
20481,4.049805,29.14063
20530,4.049805,29.14063
20580,4.048096,29.11328
20629,4.049805,29.17188
20679,4.049805,29.14063
20728,4.048096,29.14063
20778,4.048096,29.23438
20827,4.048096,29.11328
20877,4.049805,29.23438
20926,4.049805,29.20313
20976,4.048096,29.20313
21025,4.049805,29.23438
21075,4.049805,29.23438
21124,4.049805,29.20313
21174,4.048096,29.20313
21223,4.049805,29.20313
21273,4.049805,29.23438
21322,4.048096,29.17188
21372,4.049805,29.20313
21421,4.049805,29.20313
21471,4.049805,29.23438
21520,4.049805,29.29297
21570,4.049805,29.26563
21619,4.049805,29.26563
21669,4.049805,29.26563
21718,4.048096,29.23438
21768,4.048096,29.23438
21817,4.048096,29.32813
21867,4.049805,29.26563
21916,4.048096,29.29297
21966,4.048096,29.29297
22015,4.049805,29.26563
22065,4.049805,29.26563
22114,4.048096,29.32813
22164,4.048096,29.29297
22213,4.048096,29.29297
22263,4.049805,29.32813
22312,4.048096,29.26563
22362,4.048096,29.20313
22411,4.049805,29.23438
22461,4.049805,29.26563
22510,4.049805,29.32813
22560,4.048096,29.32813
22609,4.049805,29.35547
22659,4.049805,29.29297
22708,4.049805,29.32813
22758,4.049805,29.32813
22807,4.049805,29.38672
22857,4.049805,29.35547
22906,4.051514,29.32813
22956,4.048096,29.32813
23005,4.048096,29.38672
23055,4.048096,29.35547
23104,4.048096,29.35547
23154,4.048096,29.41797
23203,4.048096,29.38672
23253,4.049805,29.38672
23302,4.049805,29.41797
23352,4.048096,29.38672
23401,4.049805,29.38672
23451,4.049805,29.38672
23500,4.048096,29.35547
23550,4.048096,29.35547
23599,4.048096,29.41797
23649,4.049805,29.38672
23698,4.048096,29.38672
23748,4.048096,29.35547
23797,4.048096,29.38672
23847,4.049805,29.44922
23896,4.049805,29.38672
23946,4.049805,29.48047
23995,4.049805,29.41797
24045,4.049805,29.41797
24094,4.048096,29.38672
24144,4.048096,29.44922
24193,4.048096,29.41797
24243,4.048096,29.44922
24292,4.048096,29.44922
24342,4.048096,29.44922
24391,4.048096,29.41797
24441,4.048096,29.48047
24490,4.048096,29.44922
24540,4.048096,29.44922
24589,4.048096,29.50781
24639,4.048096,29.48047
24688,4.046631,29.44922
24738,4.048096,29.50781
24787,4.048096,29.50781
24837,4.048096,29.48047
24886,4.049805,29.53906
24936,4.046631,29.50781
24985,4.049805,29.44922
25035,4.049805,29.50781
25084,4.049805,29.48047
25134,4.048096,29.50781
25183,4.049805,29.50781
25233,4.049805,29.44922
25282,4.049805,29.53906
25332,4.048096,29.53906
25381,4.049805,29.57422
25431,4.048096,29.50781
25480,4.049805,29.53906
25530,4.048096,29.53906
25579,4.049805,29.57422
25629,4.048096,29.57422
25678,4.043457,29.57422
25728,4.046631,29.53906
25777,4.048096,29.53906
25827,4.048096,29.57422
25876,4.048096,29.57422
25926,4.046631,29.60156
25975,4.046631,29.60156
26025,4.048096,29.57422
