Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-26.5625,21.4375,82.625,0.347168,-0.2827148,0.3432617,-0.02148438,-0.2539063,0.1777344
2,-9.25,12.1875,81.625,0.2460938,-0.5751953,0.3945313,-0.02246094,-0.2553711,0.1791992
3,13.4375,6.4375,82.875,0.137207,-0.8911133,0.5009766,-0.02392578,-0.2514648,0.1762695
5,61.125,-31.75,77.6875,-0.1230469,-1.300781,0.2373047,-0.02587891,-0.2529297,0.1777344
6,90.5,-50.75,71.8125,-0.2944336,-1.702637,0.737793,-0.02832031,-0.2529297,0.1806641
8,121.0625,-63.4375,45.5625,-0.3759766,-1.706543,0.6274414,-0.03417969,-0.2563477,0.1821289
9,137.1875,-95.125,17.375,-0.3876953,-2.189941,0.3120117,-0.03320313,-0.2587891,0.1850586
11,114.875,-85.3125,-8.125,-0.03369141,-1.550293,0.5366211,-0.03662109,-0.2626953,0.1879883
12,81.8125,-66.375,-35.875,0.4716797,-0.5322266,-0.01855469,-0.0390625,-0.2626953,0.1953125
14,4.0625,2.6875,-150,1.342773,1.105469,-0.2709961,-0.03662109,-0.2661133,0.1982422
15,-36.125,12.375,-266.1875,1.976563,2.240234,-0.9130859,-0.03564453,-0.2675781,0.1967773
17,-87.1875,73.5,-310.5625,2.13623,2.922852,-0.6293945,-0.02490234,-0.2709961,0.1938477
18,-84.125,145.25,-282.875,2.303223,3.016602,-0.487793,-0.01660156,-0.2700195,0.190918
20,-64.5625,175.375,-161.4375,2.291504,3.550781,-0.5664063,-0.01171875,-0.2700195,0.190918
21,-55.5,151.6875,-42.0625,2.077637,3.968262,-0.2314453,0,-0.2724609,0.1835938
23,-58.375,91,42.0625,1.71582,3.995605,0.1899414,0.002929688,-0.2724609,0.1850586
24,-51.25,24.125,93,1.276367,3.42627,0.4736328,0.00390625,-0.2709961,0.1806641
26,-58.0625,-18.375,129.375,1.016113,2.700684,0.4145508,0.001953125,-0.2675781,0.1777344
27,-91.8125,-35.6875,140.625,0.949707,1.85791,0.3432617,0,-0.2651367,0.1762695
29,-128.5625,-18.75,134.3125,0.9072266,0.9335938,0.434082,-0.00390625,-0.2626953,0.1762695
32,-138.1875,7.75,127.0625,0.3896484,-0.2788086,0.4458008,-0.009765625,-0.2529297,0.1733398
34,-114.6875,13.5625,154.3125,-0.2397461,-1.90918,0.4658203,-0.01074219,-0.2514648,0.1689453
35,-65.25,11,194.8125,-0.6557617,-2.935059,0.5249023,-0.01171875,-0.2490234,0.1660156
37,17.875,-28.0625,208.875,-0.59375,-4.171387,0.2016602,-0.01904297,-0.2480469,0.1660156
38,44.75,-5.6875,169.875,-0.690918,-3.336914,0.7255859,-0.02246094,-0.2456055,0.1660156
40,79.0625,-10.875,141.3125,-0.8544922,-3.063965,0.4853516,-0.02490234,-0.246582,0.1674805
41,83.875,-32.25,87.4375,-0.9477539,-2.303223,0.3041992,-0.02978516,-0.2441406,0.171875
