Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
1,55.20819,-64.08775,124.3717
4,52.46017,-65.1852,127.334
7,51.92976,-66.6217,128.8076
10,54.49833,-67.86111,127.9745
13,58.76044,-68.67878,125.2068
16,62.75962,-66.49747,121.4001
19,63.76482,-61.65135,119.1427
22,60.90669,-58.24684,121.6396
25,57.75797,-57.97735,124.6067
28,55.26901,-59.565,126.5773
33,51.13071,-61.25127,129.3431
36,45.4447,-63.16099,133.7059
39,41.50986,-65.32542,138.2717
42,38.9138,-67.01529,142.1699
45,40.88824,-67.58115,140.8015
48,47.38353,-67.19119,134.6415
51,54.34088,-64.95431,128.4629
54,56.98093,-62.08913,126.9009
57,56.08686,-61.2447,128.8454
60,54.53453,-61.16046,129.9961
63,52.40195,-61.49682,130.7652
66,48.45335,-61.84984,133.1634
69,42.61577,-63.32841,137.8585
72,38.60947,-65.52232,143.1069
75,37.24227,-66.87247,146.2432
78,41.05234,-66.5348,143.1629
82,46.95004,-64.79652,138.0679
85,50.03043,-62.63062,135.5055
88,49.82666,-62.29872,136.5502
91,48.47,-62.85287,137.6028
94,47.15499,-63.28291,137.6562
97,45.32707,-63.5359,137.9334
100,43.88491,-63.88447,138.2191
103,43.07869,-64.02494,138.6784
106,43.30509,-63.67752,138.3538
109,44.79984,-62.79143,136.5379
112,46.6231,-61.72277,134.3748
115,48.33833,-60.34995,132.3906
118,50.06833,-58.51841,130.3364
121,51.68585,-56.28955,128.2156
124,52.86697,-54.05151,126.4652
127,53.54375,-51.94015,125.1649
132,53.96152,-49.98734,124.1398
135,54.32604,-48.14879,123.2458
138,55.17068,-46.35612,121.2419
141,55.95487,-44.67438,119.2441
144,56.24787,-43.53188,118.5011
147,56.67441,-42.41748,117.6694
150,57.08198,-41.15034,116.8709
153,57.24581,-40.04908,116.5679
156,57.30012,-38.97378,116.4641
159,57.08497,-37.8966,116.6841
162,56.73429,-37.01722,117.1555
165,56.47865,-36.27436,117.3994
168,56.15329,-35.65378,117.5152
171,55.73729,-35.16988,117.699
174,55.22179,-34.79189,118.0769
177,54.62616,-34.31823,118.4781
181,54.42575,-33.48054,118.1265
184,54.15926,-32.95153,118.0687
187,53.64205,-32.93297,118.4749
190,52.93636,-33.01648,118.9431
193,52.43327,-32.96618,118.963
196,52.43195,-32.45605,118.1936
199,52.00446,-32.24798,118.464
202,51.37489,-32.36099,119.3175
205,51.31621,-31.7249,119.4044
208,51.40137,-30.76178,119.1491
211,51.44088,-29.7865,119.0145
214,51.26711,-28.87262,119.3023
217,50.93615,-28.51184,120.1889
220,50.65522,-28.55964,121.2015
223,50.54835,-28.51817,121.9318
226,50.4015,-28.29897,122.3335
231,50.31686,-28.44179,122.794
234,50.30807,-28.84218,123.5387
237,50.49625,-29.23002,124.0712
240,50.88496,-29.73128,124.5724
243,51.51236,-30.44363,124.9824
246,52.32087,-31.32725,125.1572
249,53.35358,-32.35341,124.9584
252,54.4371,-33.34391,124.4438
