Packet number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
1,-0.2467091,-0.05394378,0.967587,0.3606915,-0.9318264,0.0400167,0.8994644,0.3588729,0.2493471
4,-0.2545236,-0.04799192,0.965875,0.3336986,-0.9417817,0.04114017,0.9076691,0.3327823,0.2557206
7,-0.2486774,-0.02763543,0.968192,0.3092086,-0.9495541,0.05231591,0.917905,0.3123831,0.2446778
10,-0.2318816,0.006213832,0.9727241,0.2970675,-0.9517552,0.07689594,0.926273,0.3067955,0.2188486
13,-0.209624,0.03544836,0.9771392,0.2970858,-0.9497889,0.09818947,0.9315566,0.3108771,0.1885673
16,-0.207774,0.03410919,0.9775819,0.3403866,-0.9344105,0.1049482,0.9170424,0.3545613,0.1825358
19,-0.2312383,-0.001662344,0.9728957,0.414726,-0.9047586,0.09702634,0.8800745,0.4259214,0.2099042
22,-0.2760629,-0.02418358,0.9608353,0.4480399,-0.887661,0.106387,0.8503233,0.4598621,0.2558856
25,-0.3011527,-0.03183351,0.9530445,0.4364366,-0.8932206,0.1080744,0.8478386,0.4484904,0.2828891
28,-0.3018631,-0.03526446,0.9526988,0.4067951,-0.9085388,0.09526337,0.8622044,0.4163097,0.2885997
33,-0.304917,-0.05257108,0.9509269,0.3719639,-0.9257463,0.06809214,0.8767374,0.3744729,0.3018304
36,-0.3119564,-0.06786257,0.9476697,0.326377,-0.944401,0.03980913,0.8922787,0.3217163,0.3167607
39,-0.3115574,-0.04897397,0.9489645,0.2778636,-0.9597151,0.04169746,0.9086934,0.2766738,0.3126145
42,-0.3084182,-0.02047561,0.9510305,0.2394935,-0.9692351,0.05679994,0.9206091,0.2452837,0.3038336
45,-0.2955505,-0.00885199,0.9552861,0.241032,-0.9682977,0.06559895,0.9244207,0.2496423,0.2883145
48,-0.2723947,-0.005098667,0.9621721,0.2758247,-0.9584313,0.07300821,0.9218036,0.2852779,0.2624779
51,-0.2633213,0.001394928,0.9647072,0.3314807,-0.9389817,0.09183694,0.9059705,0.3439644,0.2467916
54,-0.2810611,0.00913553,0.9596463,0.3743258,-0.9197089,0.1183879,0.8836768,0.3924947,0.2550747
57,-0.3017372,0.02178852,0.9531421,0.374677,-0.9165909,0.1395649,0.8766823,0.3992324,0.2684059
60,-0.3100289,0.01406631,0.9506231,0.369529,-0.9194889,0.1341209,0.875974,0.3928641,0.2798702
63,-0.3115977,-0.007458551,0.9501849,0.3614334,-0.9257361,0.1112596,0.8787906,0.3780967,0.2911532
66,-0.3227383,-0.03234649,0.9459353,0.344122,-0.9350299,0.08543545,0.8817142,0.3530905,0.312901
69,-0.3328373,-0.0451427,0.9419031,0.3011794,-0.9516261,0.0608181,0.8935941,0.3039243,0.3303327
72,-0.3313702,-0.01490186,0.9433831,0.2487374,-0.9658827,0.07211355,0.9101228,0.2585509,0.3237714
75,-0.326558,0.0203579,0.9449579,0.2182554,-0.9711241,0.09634622,0.9196328,0.2377048,0.3126853
78,-0.3186905,0.03003602,0.9473828,0.2387327,-0.9647328,0.1108935,0.9173021,0.2615119,0.3002806
82,-0.3167937,0.03571275,0.9478219,0.2845638,-0.9496791,0.1308934,0.9048012,0.311182,0.2906897
85,-0.3279304,0.03527588,0.944043,0.3221942,-0.9352119,0.1468658,0.8880612,0.352327,0.2953188
88,-0.3374788,0.04748701,0.9401346,0.3196944,-0.9335837,0.1619164,0.8853832,0.3551991,0.2998833
91,-0.3369552,0.04489007,0.9404499,0.3076522,-0.9387826,0.1550396,0.8898378,0.3415729,0.3025171
94,-0.3322959,0.0260156,0.9428163,0.3028308,-0.9437502,0.1327742,0.8932373,0.3296342,0.305726
97,-0.3308262,0.001556703,0.9436904,0.298574,-0.9484555,0.1062346,0.8952137,0.3169067,0.313309
100,-0.3282434,-0.0160606,0.9444568,0.2932869,-0.952172,0.08573931,0.8979083,0.3051401,0.3172548
103,-0.3289294,-0.02115374,0.9441175,0.2891917,-0.9539744,0.07937946,0.8989847,0.2991412,0.3199077
106,-0.3313533,-0.02419423,0.9431964,0.2946672,-0.9523213,0.07909087,0.8963125,0.3041361,0.3226839
109,-0.3318716,-0.03324677,0.9427385,0.3145177,-0.9460946,0.07735433,0.889348,0.3221797,0.3244387
112,-0.3313085,-0.0432444,0.942531,0.3386188,-0.9378495,0.07599806,0.8806657,0.3443375,0.3253609
115,-0.3335183,-0.05322682,0.9412398,0.3653694,-0.927672,0.07700519,0.8690631,0.3695829,0.3288431
118,-0.3380225,-0.065993,0.9388214,0.3980693,-0.9139404,0.07908075,0.8528081,0.4004471,0.3352021
121,-0.3433332,-0.08333571,0.9355092,0.436054,-0.896341,0.08018585,0.8318529,0.435463,0.3440825
124,-0.348909,-0.1018971,0.9316005,0.4721221,-0.8778217,0.08080729,0.8095451,0.4680235,0.3543878
127,-0.3550528,-0.1210339,0.926978,0.5039744,-0.8599353,0.08075292,0.7873672,0.4958448,0.3663203
132,-0.3608368,-0.1393674,0.922157,0.5321563,-0.8427759,0.08086056,0.7659024,0.5199091,0.3782699
135,-0.3657792,-0.1559864,0.9175368,0.5579959,-0.8257764,0.08206036,0.74488,0.5419978,0.3890915
138,-0.3579605,-0.1802272,0.9161782,0.5900884,-0.8040879,0.07237653,0.7236435,0.5665341,0.3941816
141,-0.3474018,-0.2038884,0.9152822,0.6204796,-0.7818192,0.06134925,0.7030768,0.5892268,0.3981141
144,-0.3459487,-0.2150032,0.913287,0.6371278,-0.768384,0.06045035,0.688758,0.6027932,0.402806
147,-0.3428207,-0.2248447,0.9120958,0.6538246,-0.7542789,0.05980619,0.6745276,0.6168535,0.4055915
150,-0.3403363,-0.2350916,0.9104412,0.6716834,-0.73837,0.06042527,0.6580371,0.6320931,0.4092014
153,-0.3423735,-0.2418777,0.9078962,0.6846611,-0.7259772,0.06477841,0.6434435,0.6437796,0.4141595
156,-0.3464528,-0.2477622,0.9047565,0.6959697,-0.71457,0.07082255,0.6289647,0.6542198,0.4199997
159,-0.3543707,-0.2539629,0.899958,0.7050764,-0.7047442,0.07875869,0.6142383,0.6624489,0.4288039
162,-0.36442,-0.2583046,0.8946937,0.710442,-0.6982599,0.08777923,0.6020551,0.6676165,0.4379704
165,-0.3710029,-0.2633078,0.89052,0.7157543,-0.6920556,0.09356707,0.5916524,0.6721072,0.4452184
168,-0.375387,-0.2703241,0.8865718,0.7206446,-0.6866593,0.09576215,0.582886,0.674851,0.4525706
171,-0.3799715,-0.2771919,0.8824887,0.7237698,-0.6831838,0.09704255,0.5760026,0.6755921,0.4602136
174,-0.3865165,-0.2826929,0.8778894,0.7245852,-0.6819775,0.09941336,0.5705973,0.6745306,0.4684306
177,-0.3938172,-0.2896606,0.8723558,0.7259821,-0.6801211,0.1019079,0.5637889,0.6734478,0.4781318
181,-0.3931993,-0.3015331,0.8686035,0.7355763,-0.6699598,0.100406,0.5516537,0.6784037,0.4852282
184,-0.3948361,-0.309193,0.8651614,0.7404359,-0.6645854,0.1004041,0.5439294,0.6802397,0.49134
187,-0.4001592,-0.3123691,0.8615673,0.7377731,-0.6675027,0.1006531,0.5436575,0.6759184,0.4975648
190,-0.405791,-0.3170092,0.8572274,0.7337841,-0.6721624,0.09878518,0.5448803,0.669106,0.5053738
193,-0.4062767,-0.3245733,0.8541611,0.7340617,-0.6726056,0.09356821,0.5441439,0.6650217,0.5115207
196,-0.3986563,-0.3364007,0.8531752,0.7436917,-0.662955,0.08610062,0.5366525,0.6688238,0.5144697
199,-0.4030886,-0.340773,0.8493488,0.7435099,-0.6630643,0.08682651,0.5335847,0.6664979,0.5206418
202,-0.4136026,-0.3395182,0.8447841,0.7365041,-0.6702549,0.09121408,0.5352519,0.6599134,0.5272756
205,-0.4176116,-0.3429721,0.84141,0.7410071,-0.6644641,0.09693316,0.5258414,0.6639711,0.5316328
208,-0.4185518,-0.3501493,0.8379796,0.7504752,-0.6529804,0.1019979,0.5114698,0.6715743,0.5360845
211,-0.4209492,-0.3566802,0.834015,0.7589611,-0.6420341,0.1084911,0.4967695,0.6786541,0.5409701
214,-0.4285803,-0.3612853,0.8281255,0.76365,-0.6346973,0.1183137,0.482864,0.6831049,0.5479143
217,-0.4418662,-0.3583436,0.8224015,0.7595397,-0.6372514,0.1304229,0.4773403,0.682276,0.5537562
220,-0.4550133,-0.3507488,0.8184975,0.7512715,-0.6446723,0.1413815,0.4780733,0.6792443,0.5568421
223,-0.4647347,-0.3442859,0.815775,0.7457045,-0.6489558,0.1509343,0.4774373,0.6784716,0.5583278
